trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'e': 0.9136529216111617, 'a': 0.7}",20,0,-65.08347885447456,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
43,False,"{'e': 0.9097324530699922, 'a': 0.7}",20,0,-134.5324585524932,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
44,False,"{'e': 0.9057382243093339, 'a': 0.7}",25,0,-117.42538191466782,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",1
45,False,"{'e': 0.9016713562694216, 'a': 0.7}",20,0,-144.15112796126505,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
46,False,"{'e': 0.8975329866564504, 'a': 0.7}",20,0,-63.2337584867839,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
47,False,"{'e': 0.893324269413249, 'a': 0.7}",25,0,-74.8163901581526,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
48,False,"{'e': 0.8890463741842554, 'a': 0.7}",20,3,-32.313935515182024,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
49,False,"{'e': 0.8847004857751428, 'a': 0.7}",20,2,-39.43422571810629,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 1}",1
50,False,"{'e': 0.8802878036074447, 'a': 0.7}",25,0,-183.63502340838997,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
51,False,"{'e': 0.8758095411685275, 'a': 0.7}",20,0,-49.93541806775801,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
52,False,"{'e': 0.8712669254572644, 'a': 0.7}",30,0,-194.67377758413483,"{0: 14, 1: 8, 2: 5, 3: 0, 4: 3}",0
53,False,"{'e': 0.8666611964257631, 'a': 0.7}",30,8,-133.46752445207312,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 2}",1
54,False,"{'e': 0.8619936064175019, 'a': 0.7}",20,0,-119.7686174435978,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
55,False,"{'e': 0.8572654196022279, 'a': 0.7}",25,0,-130.55773778544153,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
56,False,"{'e': 0.8524779114079741, 'a': 0.7}",30,0,-78.50203739557745,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
57,False,"{'e': 0.8476323679505496, 'a': 0.7}",25,0,-34.9599621842845,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
58,False,"{'e': 0.8427300854608586, 'a': 0.7}",20,0,-23.805922775912634,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
59,False,"{'e': 0.8377723697104027, 'a': 0.7}",25,0,-58.940168128354905,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
60,False,"{'e': 0.8327605354353211, 'a': 0.7}",30,0,-154.92954267305237,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
61,False,"{'e': 0.8276959057593215, 'a': 0.7}",20,0,-124.0886760064468,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
62,False,"{'e': 0.8225798116158521, 'a': 0.7}",35,0,-88.89536973617166,"{0: 23, 1: 7, 2: 4, 3: 0, 4: 1}",0
63,False,"{'e': 0.8174135911698672, 'a': 0.7}",20,3,-74.26179321391822,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 1}",1
64,False,"{'e': 0.812198589239533, 'a': 0.7}",25,6,-79.49802426237076,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 1}",1
65,False,"{'e': 0.8069361567182205, 'a': 0.7}",20,10,-2.3806465879600225,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
66,False,"{'e': 0.8016276499971293, 'a': 0.7}",20,0,-31.910647231914442,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
67,False,"{'e': 0.7962744303888838, 'a': 0.7}",25,0,-58.54167366624817,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
68,False,"{'e': 0.7908778635524394, 'a': 0.7}",20,0,-139.62663782061134,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",1
69,False,"{'e': 0.785439318919635, 'a': 0.7}",20,0,-180.3658488960304,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
70,False,"{'e': 0.7799601691237233, 'a': 0.7}",30,0,-54.841236113433794,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
71,False,"{'e': 0.7744417894302069, 'a': 0.7}",25,0,-156.3552717781985,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
72,False,"{'e': 0.768885557170305, 'a': 0.7}",25,0,-115.91581172943147,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
73,False,"{'e': 0.7632928511773712, 'a': 0.7}",25,11,-13.384860627216232,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
74,False,"{'e': 0.7576650512265775, 'a': 0.7}",30,0,-154.19941447840665,"{0: 22, 1: 0, 2: 4, 3: 1, 4: 3}",0
75,False,"{'e': 0.7520035374781775, 'a': 0.7}",20,0,-78.78834321999398,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
76,False,"{'e': 0.7463096899246549, 'a': 0.7}",35,0,-153.0990849260267,"{0: 23, 1: 2, 2: 7, 3: 1, 4: 2}",0
77,False,"{'e': 0.7405848878420579, 'a': 0.7}",25,0,-62.733704449809764,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",1
78,False,"{'e': 0.7348305092458192, 'a': 0.7}",25,0,-13.169382063404498,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
79,False,"{'e': 0.7290479303513488, 'a': 0.7}",25,0,-242.02201436653485,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 5}",0
80,False,"{'e': 0.7232385250396896, 'a': 0.7}",35,0,-161.63950848542666,"{0: 21, 1: 5, 2: 6, 3: 1, 4: 2}",0
81,False,"{'e': 0.7174036643285121, 'a': 0.7}",25,0,-164.96236703187367,"{0: 16, 1: 3, 2: 1, 3: 2, 4: 3}",0
82,False,"{'e': 0.7115447158487255, 'a': 0.7}",20,2,-48.50630707608822,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
83,False,"{'e': 0.7056630433269705, 'a': 0.7}",25,14,-34.38197633168786,"{0: 5, 1: 5, 2: 0, 3: 1, 4: 0}",1
84,False,"{'e': 0.6997600060742577, 'a': 0.7}",20,0,-80.14568548971276,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 2}",0
85,False,"{'e': 0.6938369584810054, 'a': 0.7}",25,0,-82.36223703920608,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",1
86,False,"{'e': 0.6878952495187263, 'a': 0.7}",35,0,-63.89461226221153,"{0: 28, 1: 4, 2: 1, 3: 1, 4: 1}",0
